ID,Nom,Description,Callout,Image,Latitude,Longitude,Restant,Habitat,Régime,Reproduction,gestation,portée,Espérance de vie ,En danger, ,Organisations ,Hack
rhino-indian,Rhinocéros indien,,Sauvons les Rhinocéros indien !,rhino-indian-icon.png,26.578094,93.171735,3500,Ils sont répandus à 10 endroits entre l'Inde et le Népal. 70 % de la population vivent dans le parc national de Kaziranga en Inde et le reste vit dans le parc national de Chitwan au Népal.,"Ils sont herbivores. Leur régime se compose à 80 % de feuilles et d'herbes et à 20 % de fruits, de branches et de plantes aquatiques. Ce rhino peut consommer 1% de son poids par jour.","Les femelles acouchent d'un bébé après une gestation de 16 mois. Il se déroule environ 2 ans et demi avant leur prochain petit. 
",16,1 bébé,35~45,"La principale raison qu'ils sont en danger est le braconnage. Ces rhinos sont chassés, car on croit que leurs cornes ont des propriétés médicinales. Il y a aussi la perte d’habitat. Ils vivent dans des plaines alluviales et proches de l'eau qui sont très recherchées par les agriculteurs. 
","Ils peuvent charger avec une force de 50 km/h 
Ce sont de très bons nageurs 
Les petits peuvent boire jusqu’à 30 L de lait par jour
","Le commerce de leur corne est maintenant illégal partout où ils vivent.
Des organisations transfèrent des pachydermes dans des endroits plus sécuritaires. 
International rhino. 
",1
rhino-java,Rhinocéros de Java,,Sauvons les Rhinocéros de Java !,rhino-java-icon.png,-6.78602,105.36108,50,Toute la population vit dans le parc national d’Ujung Kulon sur île de Java en Indonésie,"Herbivores, plantes, herbes, feuilles et fruits","1 petit après 16 mois de gestation 
Prochain après 4 ans 
",16,1 bébé,~40,"La principale raison qu'il sont en danger est le braconnage, leurs cornes ont une valeur très élevée. De plus, les autorités indonésiennes ont utilisé des herbicides sur des millions d’hectares entre 1965 et 1975, cela a tué plusieurs individus. 

","C’était l’animal le plus répandu en Asie avant sa presque extinction
","WWF, Asian Rhino Project 
Des rhinos sont déplacés dans des endroits plus sécuritaires pour assurer leur survie.

",1
dhole,Dhole ou Chien sauvage d'Asie ,,Sauvons les Dhole ou Chien sauvage d'Asie  !,dhole-icon.png,21.545191,79.773318,1500,"11 pays en Asie (Bangladesh, Bhoutan, Cambodge, Chine, Inde, Indonésie, Laos, Malaisie, Myanmar, Népal et Thaïlande
Plus grande population = forêts centrales de l’Inde","Hypercarnivore (70 % de viande), mâchoire spéciale super puissante
Petits rongeurs, lézards et ongulés
Peut attaquer des proies jusqu’à 4 x plus grandes
1,9 kg/ jour soit 10 % de leur poid",8 bébés après une gestation de 60-62 jours,2,8 bébés,10~15,"Il n'y a pas assez de proies pour tous les nourrir. Ils se font chasser par des éleveurs, car ils attaquent leurs animaux. Lorsqu'ils sont en contact avec des chiens domestiques, ils attrapent des maladies qui peuvent être fatales.","Les petits commencent à chasser à 6 mois 
Ils communiquent par cri, grognements et sifflements
",Le gouvernement indonésien a créé des zones protégées pour les dholes.,1
ara-gorge-bleu,Ara à gorge bleu ,,Sauvons les Ara à gorge bleu  !,ara-gorge-bleu-icon.png,-14.361254,-65.073344,350,"Llanos de Moxos / savanes du Béni en Bolivie.
Zone humide composée de savanes tropicales 
","Herbivore, fruits et noix (Préféré = noix motacu)","Femelle pond entre 1 et 3 oeufs 
Le couple niche dans une cavité d’environ 30 cm 
",1,entre 1 et trois oeufs,50~80,"Ils se font chasser pour leurs plumes. Elles sont utilisées pour des coiffes traditionnelles. Les jeunes oiseaux se font chasser par d'autres animaux dans la jungle.

","Il n'y a pas de diphormisme sexuel entre le mâle et la femelle, cela veut dire qu'ils sont quasiment identiques  ","World Parrot Trust et d’Armonia.Ces organisations plantent des arbres et protègent les nids. Deux réserves ont été créées pour leur donner un environnement sécuritaire.
",1
vipere-milos,Vipère de Milos,,Sauvons les Vipère de Milos !,vipere-milos-icon.png,36.698295,24.392653,3000,"Grèce, 4 îles (Milos, Sifnos, Kimolos et Poluaigos) 
80 % Milos ","Jeunes = lézards et oeufs 
Adultes = oiseaux ",Femelle pond entre 4 et 11 oeufs aux deux ans ,3,entre 4 et 11 oeufs,~5,"Elles sont tuées dans la nature et sur la route, car les habitants en ont peur. Elles perdent leur habitat à cause d'incendies fréquents. Elles sont aussi chassées pour leur peau de valeur. ",Son venin est mortel pour l'homme,"Il y a des passages routiers qui ont été construits pour assurer des déplacements plus sécuritaires. Elles ont été rajoutées sur le site internet Natura 2000, afin d'informer la population ",1
elephant-asie,Éléphant d'asie,,Sauvons les Éléphant d'asie !,elephant-asie-icon.png,9.753028,77.01325,50000,57 % de la population vit dans le sud de l'Inde ,"végétarien (plantes, herbes, feuilles et fruits), entre 150 et 220 kg nourriture (dépendant de la saison) ","gestation de 1 an et demi, donne naissance à 1 éléphanteau tout les 3-4 ans ",18,1 bébé,~85,Ils ont perdu beaucoup de territoire à cause de développements humains. Ils se font chasser pour leurs défenses de grande valeur.,C'est le plus grand mammifère asiatique ,"elefantasia, wwf Belgique et fondation Aane Mane",1
martre-amerique,Martre d'Amérique,,Sauvons les Martre d'Amérique !,martre-amerique-icon.png,48.611856,-57.834332,600,"Terre-neuve, Labrador et Nord du Québec","régime versatile (tout ce qu'elle attrape) : souris, écureuil, oeufs d'oiseaux et amphibien","2 à 6 petits après 8 à 9 mois de gestation (n'importe quand, pas de pause) ",8,2 à 6 bébé ,~15,Elles perdent beaucoup de leur habitat à cause de l'exploitation forestière. Elles sont chassées pour leur fourrure qui a une valeur élevée sur le marché.,Elle n'aime pas l'eau,La chasse d'animaux sauvages dans ces régions est très réglementée.,1
beluga-saint-laurent,Béluga du Saint-Laurent,,Sauvons les Béluga du Saint-Laurent !,beluga-saint-laurent-icon.png,45.307874,-74.010008,900,Fleuve Saint-Laurent ,poisson (plusieurs espèces) ,"1 petit aux trois ans, après environ 475 jours de gestation (presque 16 mois)",16,1 bébé,70~80,"Ils sont chassés pour leur gras, qui est un mets populaire, ainsi que leur peau. La pollution du fleuve les rend à risque d'infections fatales. ",Ils peuvent changer la forme de leur tête en soufflant autour de leurs sinus.,La chasse est réglementée à cause de l'International Moratorium on Commercial Whaling law.,1
chabot-tete-courte,Chabot à tête courte ,,Sauvons les Chabot à tête courte  !,chabot-tete-courte-icon.png,47.551896,-120.830683,250,bassin du fleuve Columbia,"carnivore (mollusque, vers et larves)",100 à 300 oeufs en même temps (dans un nid) éclos après 4 semaines,1,100 à 300 oeufs,3~5,Ils sont vulnérables aux changements de la qualité de l'eau et de leur habitat. L'introduction d'autres espèces de poisson les mettent aussi à risque.,,La pêche est réglementée. Le chabot est protégé par une loi du Canada. ,1
albatros-galapagos,Albatros des Galapagos ,,Sauvons les Albatros des Galapagos  !,albatros-galapagos-icon.png,-0.855258,-90.681172,35000,îles Galapagos,"carnivore (grands poissons, calmars et crustacés)",1 oeuf incubé pendant 2 mois aux deux ans,2,1 oeuf,~40,Les techniques de pêche dangereuses sont un grand facteur de risque pour l'albatros. Ils sont souvent piégés en suivant des bateaux. Leurs prédateurs attaquent leur nid et volent leurs oeufs. ,L'envergure de leurs ailes peut atteindre 11 pieds. ,Certaines techniques de pêche ont été interdites autour des îles ou ils vivent.,1
